"rn","CZY","CZY-dep","CZY-or","NOQWORD","QWORD","czyperc","czypercDO","ALLSUM","Birthreg","Secondreg","Birthdate","Dialect","POETRY","rhetpercNOQWORD","NA","YRHET","rhetsum","rhetperc"
"A. Reisen",6,4,4,415,335,0.0142517814726841,0.0186480186480186,764,"BY-MSQ","US",1876,"BY","NA",0.0513833992094862,6,0,6,0
"Bergelson",6,1,12,217,181,0.0269058295964126,0.0550847457627119,417,"UA-CRK","USSR",1884,"UA","NA",0.0145985401459854,6,0,6,0
"Berl Botwinik",1,1,1,192,245,0.00518134715025907,0.0102564102564103,440,"BY-MSQ","US",1885,"BY","NA",0.0681818181818182,1,0,1,0
"Borokhov Ber",10,1,0,26,91,0.277777777777778,0.027027027027027,128,"UA-CRK",NA,1881,"UA","NA",0.0508474576271186,8,2,10,0.2
"Der Nister",13,0,6,181,453,0.0670103092783505,0.03,653,"UA-ZHT","USSR",1884,"UA","NA",0.0546875,10,3,13,0.230769230769231
"Dick Isaac",1,0,1,52,90,0.0188679245283019,0.0185185185185185,144,"LT-VNO",NA,1807,"BY","NA",0.020979020979021,1,0,1,0
"Dinezon",11,21,20,415,857,0.025821596,0.087794433,1324,"LT-KUN",NA,1856,"BY","NA",0.0639269406392694,11,0,11,0
"Eliezer Steinbarg",6,1,2,165,238,0.0350877192982456,0.0172413793103448,412,"UA-MLD","RO",1880,"UA","NA",0.0443349753694581,2,4,6,0.666666666666667
"Ester Kreitman",10,4,6,518,694,0.0189393939393939,0.0185873605947955,1232,"PL-LOD","UK",1891,"PL","NA",0.0458265139116203,9,1,10,0.1
"Ettinger",3,0,2,336,371,0.00884955752212389,0.00586510263929619,712,"PL-WAW",NA,1802,"PL","NA",0.0592383638928068,3,0,3,0
"Hirshbeyn",23,5,5,398,812,0.0546318289786223,0.0232018561484919,1243,"BY-GRO","US",1880,"BY","NA",0.0565573770491803,12,11,23,0.478260869565217
"Horonczyk",8,4,6,64,129,0.111111111111111,0.121951219512195,211,"PL-POZ",NA,1889,"PL","NA",0.083743842364532,5,3,8,0.375
"Kaczerginski",19,9,5,227,416,0.0772357723577236,0.0538461538461538,676,"LT-VNO",NA,1908,"BY","NA",0.0410958904109589,18,1,19,0.0526315789473684
"Kulbak",6,4,9,249,291,0.0235294117647059,0.0485074626865672,559,"LT-VNO",NA,1896,"BY","NA",0.0216998191681736,3,3,6,0.5
"Linetski",1,2,6,261,259,0.00381679389312977,0.0296296296296296,529,"UA-VYN",NA,1839,"UA","NA",0.123106060606061,1,0,1,0
"Markish",39,18,19,1042,1427,0.0360777058279371,0.0330948121645796,2545,"UA-KHM","USSR",1895,"UA","NA",0.0450737933785401,32,6,38,0.157894736842105
"Pechersky",3,2,1,43,48,0.0652173913043478,0.0612244897959184,97,NA,NA,NA,NA,"NA",0.0106382978723404,3,0,3,0
"Perets",33,8,6,357,553,0.0846153846153846,0.0346534653465347,957,"PL-LUB",NA,1852,"PL","NA",0.0497835497835498,31,2,33,0.0606060606060606
"Rolnikaite",29,7,7,112,161,0.205673758865248,0.0903225806451613,316,"LT-KLP","USSR",1927,"BY","NA",0.0557491289198606,15,14,29,0.482758620689655
"Segal Kalman",23,7,4,335,336,0.0642458100558659,0.029810298102981,705,"PL-RZE","PL",1917,"PL","NA",0.0219941348973607,21,2,23,0.0869565217391304
"Segalovich",26,10,18,341,657,0.0708446866485014,0.0708860759493671,1052,"PL-BEL","IL",1884,"BY","NA",0.0185185185185185,18,8,26,0.307692307692308
"Sforim",2,0,4,553,1120,0.0036036036036036,0.00715563506261181,1679,"BY-MSQ","UA-ODE",1836,"BY","NA",0.0465116279069767,2,0,2,0
"Sholem",13,13,64,1163,1972,0.0110544217687075,0.0614525139664804,3225,"UA-KYV","UA-ODE",1859,"UA","NA",0.0339352428393524,13,0,13,0
"Sholem Aleykhem lat",2,4,4,129,1,0.0152671755725191,0.0575539568345324,140,NA,NA,NA,NA,"NA",0,2,0,2,0
"Sholem Ash",21,0,9,273,417,0.0714285714285714,0.0297029702970297,720,"PL-LOD","US",1880,"PL","NA",0.050071530758226,16,5,21,0.238095238095238
"Spektor Mordechai",18,16,19,923,2107,0.0191285866099894,0.0358606557377049,3083,"UA-CRK","PL",1857,"UA","NA",0.0636215334420881,17,1,18,0.0555555555555556
"Sutskever",1,2,5,31,90,0.03125,0.179487179487179,129,"UA-VNO","IL",1913,"BY","NA",0.015625,1,0,1,0
"Varshavski Oyzer",3,2,3,153,252,0.0192307692307692,0.031055900621118,413,"UA-WAW",NA,1898,"PL","NA",0.0731707317073171,3,0,3,0
"Vergelis",45,18,18,494,690,0.0834879406307978,0.0626086956521739,1265,"UA-ZHT","USSR",1918,"UA","NA",0.0516393442622951,43,2,45,0.0444444444444444
"Yehuda Steinbarg",8,0,1,75,153,0.0963855421686747,0.0119047619047619,237,"UA-MLD",NA,1863,"UA","NA",0.104803493449782,2,6,8,0.75
